total_debt_value,avg_parcel_value,max_debt_value,total_fines_only,total_ressarcimento_only,has_daily_fine,total_paid_amount,percent_paid_amount,n_installments,n_broken_installments,n_reopened_installments,perc_broken_installments,perc_failed_installments,is_civil_servant,n_processos,n_transitado_em_julgado,n_protests,n_failed_protests,perc_failed_protests,n_pge_handovers
185610.12,4035.8993548387098,18656.0,185610.12,0.0,0,16161.28,0.0870711144413893,4,28,11,7.0,9.75,0,3,30,1,0,0.0,1
89971.6,9494.2,13306.4,83971.6,6000.0,0,0.0,0.0,0,0,0,0.0,0.0,0,3,9,2,0,0.0,1
101250.0,20250.0,20250.0,101250.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,2,5,1,0,0.0,1
24000.0,870.3683333333333,2000.0,24000.0,0.0,0,0.0,0.0,1,0,0,0.0,0.0,0,1,12,0,0,0.0,0
127455.88,21451.18,23327.98,127455.87999999999,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,2,4,1,4,4.0,1
17676.73,,11899.0,15399.0,2277.73,0,0.0,0.0,0,0,0,0.0,0.0,0,3,3,0,0,0.0,0
1447482.68,13046.109375,183520.86,957777.3400000001,489705.33999999997,0,2044.32,0.001412327779977305,0,0,0,0.0,0.0,0,10,77,4,0,0.0,2
256867.5,7177.035714285715,36800.0,227406.29,29461.21,0,0.0,0.0,0,0,0,0.0,0.0,0,5,33,5,0,0.0,6
25000.0,5000.0,5000.0,25000.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,1,2,0,0,0,0.0,0
462607.9,5411.148181818182,13200.0,454573.12000000005,8034.780000000001,0,7635.0,0.01650425770939061,2,22,0,11.0,11.0,0,5,72,5,0,0.0,2
691950.1135,9976.265,96650.0,567564.9035,124385.20999999999,0,34556.939999999995,0.049941374856064674,1,5,0,5.0,5.0,0,6,46,1,0,0.0,0
463756.28,1479.5747692307693,19136.0,457672.36,6083.92,0,199485.6,0.4301518030117026,5,55,35,11.0,18.0,0,3,65,1,0,0.0,0
27082.0,,12000.0,15082.0,12000.0,0,0.0,0.0,0,0,0,0.0,0.0,0,2,3,0,0,0.0,0
6000.0,2000.0,2000.0,6000.0,0.0,0,6336.960000000001,1.0561600000000002,0,0,0,0.0,0.0,0,1,0,0,0,0.0,0
227936.62,14370.218461538461,35100.0,225113.47999999998,2823.14,0,0.0,0.0,0,0,0,0.0,0.0,0,3,18,3,0,0.0,0
110.0,55.0,55.0,110.0,0.0,0,195.04,1.773090909090909,0,0,0,0.0,0.0,0,1,2,0,0,0.0,0
30567.6,,9350.0,15015.599999999999,15552.0,0,0.0,0.0,0,0,0,0.0,0.0,0,2,7,0,0,0.0,0
300.0,,300.0,300.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,1,1,0,0,0.0,0
65285.8,398.7171641791045,1000.0,65285.79999999999,0.0,0,29720.73,0.4552403432293086,3,63,0,21.0,21.0,0,1,67,0,0,0.0,0
29753.1433,,12597.0,11521.6433,18231.5,0,1000.0,0.033609894252752785,0,0,0,0.0,0.0,0,6,7,2,0,0.0,0
6113885.3,,5458826.16,655059.14,5458826.16,0,0.0,0.0,0,0,0,0.0,0.0,0,1,0,0,0,0.0,0
478075.1675999999,15693.255633333334,282756.1,195319.0676,282756.1,0,4936.66,0.010326116758547993,0,0,0,0.0,0.0,0,3,15,0,0,0.0,0
13243.6708,244.54545454545453,2000.0,13243.670800000002,0.0,0,10504.14,0.7931441485241387,0,0,0,0.0,0.0,0,21,32,0,0,0.0,0
7260.0,,7160.0,100.0,7160.0,0,196.95,0.027128099173553716,0,0,0,0.0,0.0,0,1,2,0,0,0.0,0
54370.0,,54370.0,54370.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,1,1,0,0,0.0,0
300.0,100.0,100.0,300.0,0.0,0,297.54,0.9918,0,0,0,0.0,0.0,0,2,3,0,0,0.0,0
12036.0,,7720.0,4316.0,7720.0,0,0.0,0.0,0,0,0,0.0,0.0,0,1,3,0,0,0.0,0
55.0,55.0,55.0,55.0,0.0,0,55.0,1.0,0,0,0,0.0,0.0,0,1,1,0,0,0.0,0
47502.1642,2561.25,12224.0,31828.1642,15674.0,0,26935.71,0.5670417433317702,0,0,0,0.0,0.0,0,3,20,0,0,0.0,0
16000.0,857.1428571428571,2000.0,16000.0,0.0,0,18716.16,1.16976,1,0,0,0.0,0.0,0,1,8,1,0,0.0,0
27590.0,3280.0,14160.0,27290.0,300.0,0,0.0,0.0,0,0,0,0.0,0.0,0,5,12,1,0,0.0,2
